Account No.,Item,Materials (dollars),Labor (dollars),Total (dollars)
,Fuel-salt storage tank (see Table D.10)," $5,049,650 "," $549,730 "," $5,599,380 "
,Salt transfer pump and jets," $3,769,570 "," $157,070 "," $3,926,640 "
226,Other reactor equipment," $61,569,640 "," $15,039,010 "," $76,608,650 "
226.1,Inert gas systems," $2,198,920 "," $942,390 "," $3,141,310 "
226.2,Auxiliary boaerk," $20,025,840 "," $3,533,970 "," $23,559,810 "
,Cell heating systems," $1,570,650 "," $1,020,930 "," $2,591,580 "
225.3,Coolant-salt drain tanks (see Table D.i!)," $6,007,750 "," $274,860 "," $6,282,620 "
226.4,Coolant-salt handling," $157,070 "," $39,270 "," $196,330 "
226.5,Coolant-salt purification system," $981,660 "," $196,330 "," $1,177,990 "
226.6,Leakdetection -system," $1,177,990 "," $785,330 "," $1,963,320 "
226.7,Cell cooling system," $1,177,990 "," $1,177,990 "," $2,355,980 "
226.8,Maintenance equipment (see Table D.12)," $28,271,770 "," $7,067,940 "," $35,339,720 "
227,Instruments and controls," $25,130,460 "," $6,282,620 "," $31,413,080 "
23,Turbine plant equipment," $251,014,070 "," $59,158,680 "," $310,172,750 "
231,Turbine," $153,814,150 "," $9,620,260 "," $163,434,400 "
231.1,Turbine-generator," $152,047,160 "," $7,853,270 "," $159,900,430 "
231.2,Foundations," $1,766,990 "," $1,766,990 "," $3,533,970 "
232.3,Condensing water system," $8,638,600 "," $7,067,940 "," $15,706,540 "
233,Condensers," $11,779,910 "," $5,497,290 "," $17,277,190 "
234,Feedwater heating system," $46,546,330 "," $14,159,450 "," $60,705,780 "
234.1,Regenerative feedwater heaters," $14,135,890 "," $785,330 "," $14,921,210 "
234.2,Condensate pumps," $1,413,590 "," $157,070 "," $1,570,650 "
,Boiler feed pumps," $14,842,680 "," $1,649,190 "," $16,491,870 "
234.3,Piping and miscellaneous, $-   , $-   , $-   
,Feedwater and condensate," $7,067,940 "," $7,067,940 "," $14,135,890 "
,Extraction steam," $2,944,980 "," $2,944,980 "," $5,889,950 "
,Drains and vents," $981,660 "," $981,660 "," $1,963,320 "
,Mixing chambers," $565,440 "," $62,830 "," $628,260 "
,Pressure-booster pumps," $4,594,160 "," $510,460 "," $5,104,630 "
235,Other turbine plan equipment," $27,643,510 "," $21,478,690 "," $49,122,200 "
235.1,Main steam piping," $13,350,560 "," $13,350,560 "," $26,701,120 "
235.2,Turbine auxiliaries," $1,963,320 "," $1,570,650 "," $3,533,970 "
235.3,Auxiliary cooling systems?," $4,711,960 "," $2,355,980 "," $7,067,940 "
235.4,Makeup and treatment," $2,513,050 "," $1,256,520 "," $3,769,570 "
235.5,Condensate treatment," $3,769,570 "," $2,513,050 "," $6,282,620 "
235.6,Central lubrication system," $471,200 "," $235,600 "," $706,790 "
235.7,Reheat steam preheaters (see Table D.13)," $863,860 "," $196,330 "," $1,060,190 "
,Turbine plant instruments and controls," $2,591,580 "," $1,335,060 "," $3,926,640 "
24,Electric plant equipment," $32,983,730 "," $25,601,660 "," $58,585,390 "
241,Switchgear, $-   , $-   , $-   
241.1,Generator circuits," $785,330 "," $235,600 "," $1,020,930 "
241.2,Station service," $7,853,270 "," $785,330 "," $8,638,600 "
242,Station service," $3,533,970 "," $2,827,180 "," $6,361,150 "
243,Switchboards," $3,141,310 "," $549,730 "," $3,691,040 "
244,Protective equipment," $785,330 "," $785,330 "," $1,570,650 "
245,Electric structures," $1,177,990 "," $4,711,960 "," $5,889,950 "
246,Wiring," $15,706,540 "," $15,706,540 "," $31,413,080 "
25,Miscellaneous plant equipment," $9,604,550 "," $3,431,880 "," $13,036,430 "
251,Turbine plant hoists," $2,615,140 "," $290,570 "," $2,905,710 "
252,Air and water services," $3,848,100 "," $2,591,580 "," $6,439,680 "
253,Communications," $392,660 "," $392,660 "," $785,330 "
254,Furnishing and fixtures," $2,748,640 "," $157,070 "," $2,905,710 "
26,Special materials, $-   , $-   , $-   
264,Coolant-salt inventory, $-   , $-   ," $3,926,640 "
265,Miscellaneous special materials, $-   , $-   ," $3,926,640 "
,Subtotal for account 26, $-   , $-   ," $7,853,270 "
,Total direct construction cost (TDC), $-   , $-   ," $1,196,092,290 "
