ind,var_name,var_description,var_value,var_unit,var_alg,var_need,v_linked,user_input
26,fuel_stor_bldg_sup_S,Painting Superstructure S for 217.149,2862.0,m^2,,,scale_fuel_stor_bldg_sup_S,0
27,fuel_stor_bldg_sup_vol,Concrete Work Superstructure volume for 217.141,858.6,m^3,,,scale_fuel_stor_bldg_sup_vol,0
28,mc_piping_M,Reactor Coolant Piping System MC piping mass for 222.12,77000.0,kg,,,scale_mc_piping_M,0
29,non_ess_swgr_bldg_bldg_vol,Building volume for 219.142,0.0,m^3,,,scale_non_ess_swgr_bldg_bldg_vol,0
30,n_crs,Reactor Control Devices Number of CRs for 221.2,69.0,,,,scale_n_crs,0
31,pri_aux_bldg_bldg_vol,Structural & Miscellaneous Steel Building volume for 215.142,13357.0,m^3,,,scale_pri_aux_bldg_bldg_vol,0
32,pri_aux_bldg_sub_S,Roofing & Flashing Substructure S for 215.145,703.0,m^2,,,scale_pri_aux_bldg_sub_S,0
33,pri_aux_bldg_sub_vol,Substructure Concrete Substructure volume for 215.13,843.6,m^3,,,scale_pri_aux_bldg_sub_vol,0
34,pri_aux_bldg_sup_S,Painting Superstructure S for 215.149,2128.0,m^2,,,scale_pri_aux_bldg_sup_S,0
35,pri_aux_bldg_sup_vol,Concrete Work Superstructure volume for 215.141,1276.8,m^3,,,scale_pri_aux_bldg_sup_vol,0
36,pri_flow,Liquid Waste System Primary flowrate for 224.1,19880.0,kg/s,,,scale_pri_flow,0
37,rx_D,Vessel Internals Reactor diameter (m) for 221.3,4.5,m,,,scale_rx_D,0
38,rej_th_P,Rejected thermal power for 261.1,4566.0,MWt,calc_rej_th_P,"rx_P, elec_P",scale_rej_th_P,0
39,rx_P,"Input unit value for Plant power scale, source account 212.22; also used for new_base_rx_P; also used for new_base_yardwork_rx_P",6800.0,MWt,,,"rej_th_P, scale_P",0
40,sfp_V,"Fuel Storage, Cleaning, & Inspection Equipment SFP volume for 225.4",750.0,m^3,,,scale_sfp_V,0
41,sub_str_S,Roof Deck Substructure S for 213.144,4136.0,m^2,,,scale_sub_str_S,0
42,sub_str_V,Substructure Concrete Substructure volume for 212.13,4603.155803819373,m^3,,,scale_sub_str_V,0
43,sup_const,Interior Concrete Building volume for 212.140,92728.01635916138,m^3,,,scale_sup_const,0
44,sup_str_S,Calculated containment superstructure S for cylinder with dome: pi*D^2/2 + pi*D*H,9414.59920057175,m^2,cal_sup_str_S,"cont_D_D, cont_H_H","scale_sup_str_S, scale_sup_str_V",0
45,turb_gen_bldg_sub_vol,Substructure Concrete Substructure volume for 213.13,1240.8,m^3,,,scale_turb_gen_bldg_sub_vol,0
46,turb_gen_bldg_sup_S,Exterior Walls Superstructure S for 213.143,12690.0,m^2,,,scale_turb_gen_bldg_sup_S,0
47,turb_gen_bldg_sup_vol,Concrete Work Superstructure volume for 213.141,3807.0,m^3,,,scale_turb_gen_bldg_sup_vol,0
48,uc_frm_flow,"Unit-cost coefficient for Flow rate scale, source account 222.11",9054.0,kg/s,,,scale_frm_flow,0
49,uc_frm_fuel_cap,Unit cost coefficient for fuel cask and crane capacity direct formula scale,411796.0,$/tonne,,,"scale_frm_fuel_cask_cap, scale_frm_fuel_crane_cap",0
50,uc_frm_ht_S,"Unit-cost coefficient for HT surface S scale, source account 222.13",31688.0,m^2,,,scale_frm_ht_S,0
51,uc_frm_prz_M,"Unit-cost coefficient for Pressurizer mass scale, source account 222.14",13128.0,kg,,,scale_frm_prz_M,0
52,uc_frm_S,"Unit-cost coefficient for Surface S scale, source account 212.3",17866.0,m^2,,,scale_frm_S,0
53,uc_frm_S_9_71886e_06,"Unit-cost coefficient for Surface S scale, source account 217.3",17866.0,m^2,,,scale_frm_S_9_71886e_06,0
54,uc_frm_vsl_M,"Unit-cost coefficient for Vessel mass scale, source account 221.1",13128.0,kg,,,scale_frm_vsl_M,0
55,V_of_212_213_215_216_217,"Fill & Backfill (Place/Comp) Volume of 212, 213, 215, 216, 217 for 211.712",336225.0163591613,m^3,,,scale_V_of_212_213_215_216_217,0
56,waste_bldg_bldg_vol,Structural & Miscellaneous Steel Building volume for 216.142,16848.0,m^3,,,scale_waste_bldg_bldg_vol,0
57,waste_bldg_sub_S,Roof Deck Substructure S for 216.144,1296.0,m^2,,,scale_waste_bldg_sub_S,0
58,waste_bldg_sub_vol,Substructure Concrete Substructure volume for 216.13,1555.2,m^3,,,scale_waste_bldg_sub_vol,0
59,waste_bldg_sup_S,Exterior Walls Superstructure S for 216.143,2028.0,m^2,,,scale_waste_bldg_sup_S,0
60,waste_bldg_sup_vol,Concrete Work Superstructure volume for 216.141,1216.8,m^3,,,scale_waste_bldg_sup_vol,0
61,wwt_bldg_bldg_vol,Building volume for 219.142,0.0,m^3,,,scale_wwt_bldg_bldg_vol,0
62,adj_212_14112_lab,Adjustment factor for 212.14112_lab,0.1686319183939024,1,,,ce_212_14112_lab,0
63,adj_212_14122_lab,Adjustment factor for 212.14122_lab,0.4545732208217065,1,,,ce_212_14122_lab,0
64,adj_cont_mat_1_48,"Adjustment factor for 212.14112_mat, 212.14122_mat",1.48,1,,,"ce_212_14112_mat, ce_212_14122_mat",0
65,adj_half,"Adjustment factor for 222.132_fac, 222.132_lab, 222.132_mat, 222.139_fac, 222.139_lab, 222.139_mat",0.5,1,,,"ce_222_132_fac, ce_222_132_mat, ce_222_132_lab, ce_222_139_fac, ce_222_139_mat, ce_222_139_lab",0
66,adj_none,"Adjustment factor for 212.14111_lab, 212.14111_mat, 212.14117_lab, 212.14117_mat, 212.14121_lab, 212.14121_mat, 212.14127_lab, 212.14127_mat",0.0,1,,,"ce_212_14111_mat, ce_212_14111_lab, ce_212_14117_mat, ce_212_14117_lab, ce_212_14121_mat, ce_212_14121_lab, ce_212_14127_mat, ce_212_14127_lab",0
67,adj_rx_aux_0_25,"Adjustment factor for 222.111_fac, 222.111_lab, 222.111_mat, 222.119_fac, 222.119_lab, 222.119_mat",0.2499999999999999,1,,,"ce_222_111_fac, ce_222_111_mat, ce_222_111_lab, ce_222_119_fac, ce_222_119_mat, ce_222_119_lab",0
68,count_222_11,Count per plant for 222.11,4.0,1,,,"ce_222_111_fac, ce_222_111_mat, ce_222_111_lab, ce_222_119_fac, ce_222_119_mat, ce_222_119_lab",0
69,count_222_13,Count per plant for 222.13,2.0,1,,,"ce_222_132_fac, ce_222_132_mat, ce_222_132_lab, ce_222_139_fac, ce_222_139_mat, ce_222_139_lab",0
70,exp_lin,Linear scaling exponent used by unit-cost/geometry scale laws where exponent = 1,1.0,1,,,"scale_adm_bldg_bldg_vol, scale_S, scale_bldg_V, scale_cont_hatch_ms_bldg_vol, scale_cont_V, scale_cr_dg_bldg_bldg_vol, scale_cr_dg_bldg_sub_S, scale_cr_dg_bldg_sub_vol, scale_cr_dg_bldg_sup_S, scale_cr_dg_bldg_sup_vol, scale_elec_tunnel_bldg_vol, scale_fuel_stor_bldg_bldg_vol, scale_fuel_stor_bldg_sub_S, scale_fuel_stor_bldg_sub_vol, scale_fuel_stor_bldg_sup_S, scale_fuel_stor_bldg_sup_vol, scale_mc_piping_M, scale_non_ess_swgr_bldg_bldg_vol, scale_n_crs, scale_pri_aux_bldg_bldg_vol, scale_pri_aux_bldg_sub_S, scale_pri_aux_bldg_sub_vol, scale_pri_aux_bldg_sup_S, scale_pri_aux_bldg_sup_vol, scale_sub_str_S, scale_sub_str_V, scale_sup_const, scale_sup_str_S, scale_sup_str_V, scale_turb_gen_bldg_sub_vol, scale_turb_gen_bldg_sup_S, scale_turb_gen_bldg_sup_vol, scale_V_of_212_213_215_216_217, scale_waste_bldg_bldg_vol, scale_waste_bldg_sub_S, scale_waste_bldg_sub_vol, scale_waste_bldg_sup_S, scale_waste_bldg_sup_vol, scale_wwt_bldg_bldg_vol",0
71,exp_elec_P,"Exponent for Electric power scale, source account 231.",0.8,1,,,scale_elec_P,0
72,exp_P,"Exponent for Plant power scale, source account 212.22; also used for exp_rej_th_P; also used for exp_rx_P; also used for exp_yardwork_rx_P",0.8,1,,,"scale_P, scale_rej_th_P",0
73,exp_pri_flow,"Exponent for Primary flowrate scale, source account 224.1",0.75,1,,,scale_pri_flow,0
74,exp_rx_D,"Exponent for Reactor diameter (m) scale, source account 221.3",2.0,1,,,scale_rx_D,0
75,exp_sfp_V,"Exponent for SFP volume scale, source account 225.4",0.75,1,,,scale_sfp_V,0
76,exp_tur_plant_equip_elec_P,"Exponent for Electric power scale, source account 241.",0.6,1,,,scale_tur_plant_equip_elec_P,0
77,f_elec_P_ctrl_wir,Passive safety factor: [Electrical] A.246 Power & Control Wiring,0.6050901652907004,1,,,,0
78,f_elec_prot,Passive safety factor: [Electrical] A.244 Protective Equipment,1.0099306954615697,1,,,,0
79,f_elec_st_serv,Passive safety factor: [Electrical] A.242 Station Service Equipment,0.2678830011089926,1,,,,0
80,f_elec_str_wir_cont,Passive safety factor: [Electrical] A.245 Electrical Structures & Wiring Container,0.5783708145703973,1,,,,0
81,f_elec_switchboards,Passive safety factor: [Electrical] A.243 Switchboards,0.9062342772269472,1,,,,0
82,f_elec_swgr,Passive safety factor: [Electrical] A.241 Switchgear,0.548339438854262,1,,,,0
83,f_simp_fuel_hndl,Design simplifications factor: [Simple] A.225 Fuel Handling & Storage,0.52,1,,,"ce_225_111_fac, ce_225_111_mat, ce_225_111_lab, ce_225_112_fac, ce_225_112_mat, ce_225_112_lab, ce_225_113_fac, ce_225_113_mat, ce_225_113_lab, ce_225_114_fac, ce_225_114_mat, ce_225_114_lab",0
84,f_simp_other_rx_equip,Design simplifications factor: [Simple] A.226 Other Reactor Equipment,0.5,1,,,,0
85,f_simp_radw,Design simplifications factor: [Simple] A.224 Radwaste Processing,0.76,1,,,,0
86,f_simp_sfgd,Design simplifications factor: [Simple] A.223 Safeguards system,0.71,1,,,,0
87,f_ss_cont_fac,Standalone steel containment factor: 212.15 Factory cost mult,3.25,1,,,,0
88,f_ss_cont_lab,Standalone steel containment factor: 212.15 Labor cost mult,4.56,1,,,,0
89,f_ss_cont_mat,Standalone steel containment factor: 212.15 Material cost mult,28.98,1,,,,0
90,lrn_222_11_fac,Factory learning factor for 222.11 grouped accounts,0.996281,1,,,"ce_222_111_fac, ce_222_119_fac",0
91,lrn_222_11_lab,Labor learning factor for 222.11 grouped accounts,0.856159,1,,,"ce_222_111_lab, ce_222_119_lab",0
92,lrn_222_11_mat,Material learning factor for 222.11 grouped accounts,0.920467,1,,,"ce_222_111_mat, ce_222_119_mat",0
93,lrn_222_13_fac,Factory learning factor for 222.13 grouped accounts,0.99875,1,,,"ce_222_132_fac, ce_222_139_fac",0
94,lrn_222_13_lab,Labor learning factor for 222.13 grouped accounts,0.9345,1,,,"ce_222_132_lab, ce_222_139_lab",0
95,lrn_222_13_mat,Material learning factor for 222.13 grouped accounts,0.9645,1,,,"ce_222_132_mat, ce_222_139_mat",0
96,ref_211_1_fac,Reference factory equipment cost for 211.1,627151.8,$,,,,0
97,ref_211_1_lab,Reference site labor cost for 211.1,10886491.93,$,,,,0
98,ref_211_1_mat,Reference site material cost for 211.1,8218524.721,$,,,,0
99,ref_211_4_lab,Reference site labor cost for 211.4,4995516.913,$,,,,0
100,ref_211_4_mat,Reference site material cost for 211.4,3721250.597,$,,,,0
101,ref_211_711_lab,Aggregated reference lab cost for 211.711,15125864.0,$,,,ce_211_711_lab,0
102,ref_211_711_mat,Aggregated reference mat cost for 211.711,4440332.0,$,,,ce_211_711_mat,0
103,ref_211_712_fac,Reference factory equipment cost for 211.712,245650.0,$,,,ce_211_712_fac,0
104,ref_211_712_lab,Reference site labor cost for 211.712,15646213.59,$,,,ce_211_712_lab,0
105,ref_211_712_mat,Reference site material cost for 211.712,13402579.35,$,,,ce_211_712_mat,0
106,ref_212_13_lab,Aggregated reference lab cost for 212.13,11129822.1873,$,,,,0
107,ref_212_13_mat,Aggregated reference mat cost for 212.13,8063843.09228,$,,,,0
108,ref_212_140_fac,Aggregated reference fac cost for 212.140,3367569.015,$,,,ce_212_140_fac,0
109,ref_212_140_lab,Aggregated reference lab cost for 212.140,45289162.7362,$,,,ce_212_140_lab,0
110,ref_212_140_mat,Aggregated reference mat cost for 212.140,13223212.03753,$,,,ce_212_140_mat,0
111,ref_212_14111_lab,Reference site labor cost for 212.14111,6302007.272,$,,,ce_212_14111_lab,0
112,ref_212_14111_mat,Reference site material cost for 212.14111,524742.3561,$,,,ce_212_14111_mat,0
113,ref_212_14112_lab,Reference site labor cost for 212.14112,11084965.36,$,,,ce_212_14112_lab,0
114,ref_212_14112_mat,Reference site material cost for 212.14112,6765223.382,$,,,ce_212_14112_mat,0
115,ref_212_14113_lab,Reference site labor cost for 212.14113,3211170.735,$,,,ce_212_14113_lab,0
116,ref_212_14113_mat,Reference site material cost for 212.14113,1638426.483,$,,,ce_212_14113_mat,0
117,ref_212_14114_lab,Reference site labor cost for 212.14114,543039.3004,$,,,ce_212_14114_lab,0
118,ref_212_14114_mat,Reference site material cost for 212.14114,197744.5645,$,,,ce_212_14114_mat,0
119,ref_212_14115_lab,Reference site labor cost for 212.14115,445996.7844,$,,,ce_212_14115_lab,0
120,ref_212_14115_mat,Reference site material cost for 212.14115,26315.43756,$,,,ce_212_14115_mat,0
121,ref_212_14116_lab,Reference site labor cost for 212.14116,45146.76643,$,,,ce_212_14116_lab,0
122,ref_212_14116_mat,Reference site material cost for 212.14116,17199.01812,$,,,ce_212_14116_mat,0
123,ref_212_14117_lab,Reference site labor cost for 212.14117,3895733.578,$,,,ce_212_14117_lab,0
124,ref_212_14117_mat,Reference site material cost for 212.14117,1567178.29,$,,,ce_212_14117_mat,0
125,ref_212_14118_lab,Reference site labor cost for 212.14118,713911.3336,$,,,ce_212_14118_lab,0
126,ref_212_14118_mat,Reference site material cost for 212.14118,293260.4893,$,,,ce_212_14118_mat,0
127,ref_212_14121_lab,Reference site labor cost for 212.14121,1742460.39,$,,,ce_212_14121_lab,0
128,ref_212_14121_mat,Reference site material cost for 212.14121,152723.5216,$,,,ce_212_14121_mat,0
129,ref_212_14122_lab,Reference site labor cost for 212.14122,4112162.548,$,,,ce_212_14122_lab,0
130,ref_212_14122_mat,Reference site material cost for 212.14122,2509679.642,$,,,ce_212_14122_mat,0
131,ref_212_14123_lab,Reference site labor cost for 212.14123,1154019.463,$,,,ce_212_14123_lab,0
132,ref_212_14123_mat,Reference site material cost for 212.14123,588811.3045,$,,,ce_212_14123_mat,0
133,ref_212_14125_lab,Reference site labor cost for 212.14125,159284.254,$,,,ce_212_14125_lab,0
134,ref_212_14125_mat,Reference site material cost for 212.14125,9398.370557,$,,,ce_212_14125_mat,0
135,ref_212_14127_lab,Reference site labor cost for 212.14127,3161753.91,$,,,ce_212_14127_lab,0
136,ref_212_14127_mat,Reference site material cost for 212.14127,1271912.815,$,,,ce_212_14127_mat,0
137,ref_212_14128_lab,Reference site labor cost for 212.14128,141092.5413,$,,,ce_212_14128_lab,0
138,ref_212_14128_mat,Reference site material cost for 212.14128,57956.61844,$,,,ce_212_14128_mat,0
139,ref_212_1419_lab,Reference site labor cost for 212.1419,796421.27,$,,,ce_212_1419_lab,0
140,ref_212_1419_mat,Reference site material cost for 212.1419,232647.2648,$,,,ce_212_1419_mat,0
141,ref_212_142_lab,Aggregated reference lab cost for 212.142,2909128.75293,$,,,ce_212_142_lab,0
142,ref_212_142_mat,Aggregated reference mat cost for 212.142,3818022.67745,$,,,ce_212_142_mat,0
143,ref_212_149_lab,Reference site labor cost for 212.149,12549840.5,$,,,ce_212_149_lab,0
144,ref_212_149_mat,Reference site material cost for 212.149,2458081.163,$,,,ce_212_149_mat,0
145,ref_212_15_fac,Reference factory equipment cost for 212.15,26940552.12,$,,,,0
146,ref_212_15_lab,Reference site labor cost for 212.15,32653359.39,$,,,,0
147,ref_212_15_mat,Reference site material cost for 212.15,1254917.429,$,,,,0
148,ref_212_21_fac,Aggregated reference fac cost for 212.21,150540.9459,$,,,,0
149,ref_212_21_lab,Aggregated reference lab cost for 212.21,1048615.7536,$,,,,0
150,ref_212_21_mat,Aggregated reference mat cost for 212.21,205092.46699,$,,,,0
151,ref_212_22_fac,Aggregated reference fac cost for 212.22,241104.968599,$,,,,0
152,ref_212_22_lab,Aggregated reference lab cost for 212.22,67726.426102,$,,,,0
153,ref_212_22_mat,Aggregated reference mat cost for 212.22,7237.3718877,$,,,,0
154,ref_212_23_fac,Aggregated reference fac cost for 212.23,1058293.9284,$,,,,0
155,ref_212_23_lab,Aggregated reference lab cost for 212.23,3960991.54051,$,,,,0
156,ref_212_23_mat,Aggregated reference mat cost for 212.23,898681.3347659999,$,,,,0
157,ref_212_24_lab,Reference site labor cost for 212.24,3463484.69,$,,,,0
158,ref_212_24_mat,Reference site material cost for 212.24,1345201.309,$,,,,0
159,ref_212_25_fac,Reference factory equipment cost for 212.25,198384.6399,$,,,,0
160,ref_212_25_lab,Reference site labor cost for 212.25,112115.1431,$,,,,0
161,ref_212_25_mat,Reference site material cost for 212.25,9150.880133,$,,,,0
162,ref_212_3_lab,Reference site labor cost for 212.3,0.316078208,$,,,,0
163,ref_212_3_mat,Reference site material cost for 212.3,0.683921792,$,,,,0
164,ref_213_13_lab,Aggregated reference lab cost for 213.13,14910944.50129,$,,,,0
165,ref_213_13_mat,Aggregated reference mat cost for 213.13,6302087.867887,$,,,,0
166,ref_213_141_lab,Aggregated reference lab cost for 213.141,1639765.2804,$,,,ce_213_141_lab,0
167,ref_213_141_mat,Aggregated reference mat cost for 213.141,635828.117868,$,,,ce_213_141_mat,0
168,ref_213_142_lab,Aggregated reference lab cost for 213.142,15453101.32427,$,,,ce_213_142_lab,0
169,ref_213_142_mat,Aggregated reference mat cost for 213.142,24471194.7413,$,,,ce_213_142_mat,0
170,ref_213_143_lab,Aggregated reference lab cost for 213.143,2115226.0423,$,,,ce_213_143_lab,0
171,ref_213_143_mat,Aggregated reference mat cost for 213.143,2442554.0654,$,,,ce_213_143_mat,0
172,ref_213_144_lab,Aggregated reference lab cost for 213.144,892268.4508999999,$,,,ce_213_144_lab,0
173,ref_213_144_mat,Aggregated reference mat cost for 213.144,925648.43823,$,,,ce_213_144_mat,0
174,ref_213_145_lab,Aggregated reference lab cost for 213.145,472841.2125,$,,,ce_213_145_lab,0
175,ref_213_145_mat,Aggregated reference mat cost for 213.145,438974.2566,$,,,ce_213_145_mat,0
176,ref_213_146_lab,Aggregated reference lab cost for 213.146,444065.4916,$,,,ce_213_146_lab,0
177,ref_213_146_mat,Aggregated reference mat cost for 213.146,284016.34398,$,,,ce_213_146_mat,0
178,ref_213_147_lab,Aggregated reference lab cost for 213.147,643802.58411,$,,,ce_213_147_lab,0
179,ref_213_147_mat,Aggregated reference mat cost for 213.147,985426.29479,$,,,ce_213_147_mat,0
180,ref_213_149_lab,Reference site labor cost for 213.149,2200909.113,$,,,ce_213_149_lab,0
181,ref_213_149_mat,Reference site material cost for 213.149,126843.2998,$,,,ce_213_149_mat,0
182,ref_213_21_fac,Aggregated reference fac cost for 213.21,26947.48846,$,,,,0
183,ref_213_21_lab,Aggregated reference lab cost for 213.21,3854846.85311,$,,,,0
184,ref_213_21_mat,Aggregated reference mat cost for 213.21,945580.448013,$,,,,0
185,ref_213_22_fac,Aggregated reference fac cost for 213.22,1201173.23833,$,,,,0
186,ref_213_22_lab,Aggregated reference lab cost for 213.22,1721625.6382600002,$,,,,0
187,ref_213_22_mat,Aggregated reference mat cost for 213.22,285222.9706872,$,,,,0
188,ref_213_24_lab,Reference site labor cost for 213.24,1445761.913,$,,,,0
189,ref_213_24_mat,Reference site material cost for 213.24,579979.5412,$,,,,0
190,ref_213_25_fac,Aggregated reference fac cost for 213.25,227987.5151,$,,,,0
191,ref_213_25_lab,Aggregated reference lab cost for 213.25,98331.51715,$,,,,0
192,ref_213_25_mat,Aggregated reference mat cost for 213.25,9377.073373,$,,,,0
193,ref_214_fac,Aggregated reference fac cost for 214,171454.8001,$,,,,0
194,ref_214_lab,Aggregated reference lab cost for 214,3253960.2307,$,,,,0
195,ref_214_mat,Aggregated reference mat cost for 214,1107592.1165,$,,,,0
196,ref_215_13_lab,Aggregated reference lab cost for 215.13,1486017.87709,$,,,,0
197,ref_215_13_mat,Aggregated reference mat cost for 215.13,1063359.167139,$,,,,0
198,ref_215_141_lab,Aggregated reference lab cost for 215.141,27007537.62763,$,,,ce_215_141_lab,0
199,ref_215_141_mat,Aggregated reference mat cost for 215.141,8497619.987044,$,,,ce_215_141_mat,0
200,ref_215_142_lab,Aggregated reference lab cost for 215.142,1853103.9549,$,,,ce_215_142_lab,0
201,ref_215_142_mat,Aggregated reference mat cost for 215.142,2944695.17141,$,,,ce_215_142_mat,0
202,ref_215_145_lab,Aggregated reference lab cost for 215.145,76768.47522,$,,,ce_215_145_lab,0
203,ref_215_145_mat,Aggregated reference mat cost for 215.145,71195.84809,$,,,ce_215_145_mat,0
204,ref_215_146_lab,Aggregated reference lab cost for 215.146,239093.8907,$,,,ce_215_146_lab,0
205,ref_215_146_mat,Aggregated reference mat cost for 215.146,218695.0725,$,,,ce_215_146_mat,0
206,ref_215_147_lab,Aggregated reference lab cost for 215.147,81713.87408400001,$,,,ce_215_147_lab,0
207,ref_215_147_mat,Aggregated reference mat cost for 215.147,88183.79654499999,$,,,ce_215_147_mat,0
208,ref_215_149_lab,Reference site labor cost for 215.149,681097.8721,$,,,ce_215_149_lab,0
209,ref_215_149_mat,Reference site material cost for 215.149,143973.4822,$,,,ce_215_149_mat,0
210,ref_215_21_fac,Aggregated reference fac cost for 215.21,7810.607011,$,,,,0
211,ref_215_21_lab,Aggregated reference lab cost for 215.21,1525771.05875,$,,,,0
212,ref_215_21_mat,Aggregated reference mat cost for 215.21,359094.32621,$,,,,0
213,ref_215_221_fac,Reference factory equipment cost for 215.221,2531710.025,$,,,ce_215_221_fac,0
214,ref_215_221_lab,Reference site labor cost for 215.221,336370.6056,$,,,ce_215_221_lab,0
215,ref_215_221_mat,Reference site material cost for 215.221,28979.80565,$,,,ce_215_221_mat,0
216,ref_215_222_fac,Reference factory equipment cost for 215.222,1936413.245,$,,,ce_215_222_fac,0
217,ref_215_222_lab,Reference site labor cost for 215.222,330613.6164,$,,,ce_215_222_lab,0
218,ref_215_222_mat,Reference site material cost for 215.222,28475.24377,$,,,ce_215_222_mat,0
219,ref_215_223_fac,Reference factory equipment cost for 215.223,39410.05189,$,,,ce_215_223_fac,0
220,ref_215_223_lab,Reference site labor cost for 215.223,30190.24938,$,,,ce_215_223_lab,0
221,ref_215_223_mat,Reference site material cost for 215.223,2535.191287,$,,,ce_215_223_mat,0
222,ref_215_224_fac,Reference factory equipment cost for 215.224,469880.2213,$,,,ce_215_224_fac,0
223,ref_215_224_lab,Reference site labor cost for 215.224,91838.71282,$,,,ce_215_224_lab,0
224,ref_215_224_mat,Reference site material cost for 215.224,7912.025553,$,,,ce_215_224_mat,0
225,ref_215_225_fac,Reference factory equipment cost for 215.225,563080.5444,$,,,ce_215_225_fac,0
226,ref_215_225_lab,Reference site labor cost for 215.225,5046207.644,$,,,ce_215_225_lab,0
227,ref_215_225_mat,Reference site material cost for 215.225,1111705.045,$,,,ce_215_225_mat,0
228,ref_215_226_fac,Reference factory equipment cost for 215.226,278882.4965,$,,,ce_215_226_fac,0
229,ref_215_226_lab,Reference site labor cost for 215.226,109065.2075,$,,,ce_215_226_lab,0
230,ref_215_226_mat,Reference site material cost for 215.226,9251.182873,$,,,ce_215_226_mat,0
231,ref_215_227_fac,Reference factory equipment cost for 215.227,216644.9347,$,,,ce_215_227_fac,0
232,ref_215_228_fac,Reference factory equipment cost for 215.228,27640.01302,$,,,ce_215_228_fac,0
233,ref_215_228_lab,Reference site labor cost for 215.228,17549.12426,$,,,ce_215_228_lab,0
234,ref_215_228_mat,Reference site material cost for 215.228,1492.017338,$,,,ce_215_228_mat,0
235,ref_215_23_fac,Aggregated reference fac cost for 215.23,884219.7209,$,,,,0
236,ref_215_23_lab,Aggregated reference lab cost for 215.23,385833.83039,$,,,,0
237,ref_215_23_mat,Aggregated reference mat cost for 215.23,33063.408132,$,,,,0
238,ref_215_24_lab,Reference site labor cost for 215.24,1326729.092,$,,,,0
239,ref_215_24_mat,Reference site material cost for 215.24,465212.2443,$,,,,0
240,ref_215_25_fac,Reference factory equipment cost for 215.25,319933.1507,$,,,,0
241,ref_215_25_lab,Reference site labor cost for 215.25,156591.6954,$,,,,0
242,ref_215_25_mat,Reference site material cost for 215.25,14127.73264,$,,,,0
243,ref_216_13_lab,Aggregated reference lab cost for 216.13,3214628.4545400003,$,,,,0
244,ref_216_13_mat,Aggregated reference mat cost for 216.13,2101391.698654,$,,,,0
