account,account_name,accert_cost_musd,legacy_cost_musd,difference_musd,relative_difference_percent,status
21.13,Administration,0.6165321771233656,0.6165321771233656,0.0,0.0,match
21.14,Site Services,0.22419351895395118,0.2241935189539511,8.326672684688674e-17,3.7140559296894555e-14,match
21.15,Cryogenics,0.3362902784309266,0.3362902784309266,0.0,0.0,match
21.16,Security,0.1261088544115975,0.1261088544115975,0.0,0.0,match
21.17,Ventilation Stack,3.7832656323479252,3.783265632347925,4.440892098500626e-16,1.1738250839512355e-14,match
22,Heat Island Plant Equipment,1306.0449137280875,1306.044913728087,4.547473508864641e-13,3.481866098987317e-14,match
22.1,Heat Island Components,1098.858920919871,1098.858920919871,0.0,0.0,match
22.1.1,First Wall and Blanket,446.188406030979,446.1884060309789,1.1368683772161603e-13,2.547955890044412e-14,match
22.1.2,Magnet Radiation Shield,41.347938004038724,41.34793800403872,7.105427357601002e-15,1.7184478115709105e-14,match
22.1.3,Coils,272.03997684210526,272.0399768421053,-5.684341886080802e-14,-2.0895244706552997e-14,match
22.1.3.1,HF Coils,116.4,116.4,0.0,0.0,match
22.1.3.2,LF Coils,12.50524,12.50524,0.0,0.0,match
22.1.3.3,CC Coils,143.13473684210524,143.1347368421053,-5.684341886080802e-14,-3.971322413755725e-14,match
22.1.4,Supplemental Heating,105.963,105.963,0.0,0.0,match
22.1.4.1,NBI,105.963,105.963,0.0,0.0,match
22.1.4.2,ICRH,0.0,0.0,0.0,0.0,match
22.1.4.3,ECH,0.0,0.0,0.0,0.0,match
22.1.5,Primary Structure and Support,0.0,0.0,0.0,0.0,match
22.1.6,Vacuum System,2.0318272568698563,2.031827256869856,4.440892098500626e-16,2.1856642012678137e-14,match
22.1.6.2,Vessel Refrigerators,0.0,0.0,0.0,0.0,match
22.1.6.3,Primary Vacuum Pumps,1.6898272568698565,1.689827256869856,4.440892098500626e-16,2.6280154261014185e-14,match
22.1.6.4,Backing Vacuum Pumps,0.342,0.342,0.0,0.0,match
22.1.7,Power Supplies,0.0,0.0,0.0,0.0,match
22.1.8,Divertor,0.0,0.0,0.0,0.0,match
22.1.9,Direct Energy Convertor,78.09256483797613,78.09256483797611,1.4210854715202004e-14,1.8197449071734573e-14,match
22.1.11,Assembly and Installation Costs,153.19520794790242,153.1952079479024,2.842170943040401e-14,1.855260997463411e-14,match
22.2,Main and Secondary Coolant,30.661451500676122,30.66145150067612,3.552713678800501e-15,1.158690637565596e-14,match
22.3,Auxiliary Cooling Systems,0.3521982634809552,0.3521982634809552,0.0,0.0,match
22.4,Radioactive Waste Treatment,0.6275532694751564,0.6275532694751564,0.0,0.0,match
22.5,Fuel Handling and Storage,88.65405229068641,88.65405229068641,0.0,0.0,match
22.6,Other Heat Island Equipment,1.8907374838973947,1.890737483897395,-2.220446049250313e-16,-1.1743809323932623e-14,match
22.7,Instrumentation and Control,85.0,85.0,0.0,0.0,match
23,Turbine Plant Equipment,35.289461092845364,35.28946109284536,7.105427357601002e-15,2.0134700665750794e-14,match
24,Electric Plant Equipment,8.701510954400227,8.701510954400227,0.0,0.0,match
25,Miscellaneous Plant Equipment,6.123285486429789,6.123285486429789,0.0,0.0,match
26,Heat Rejection,12.88244687922834,12.88244687922834,0.0,0.0,match
27,Special Materials,0.0,0.0,0.0,0.0,match
28,Digital Twin/Simulator,5.0,5.0,0.0,0.0,match
29,Contingency on Direct Capital Costs,0.0,0.0,0.0,0.0,match
30,Capitalized Indirect Service Costs (CISC),75.18916312710233,75.18916312710233,0.0,0.0,match
31,Field Indirect Costs,15.037832625420467,15.03783262542047,-3.552713678800501e-15,-2.3625171042234314e-14,match
32,Construction Supervision,37.594581563551166,37.59458156355117,-7.105427357601002e-15,-1.8900136833787453e-14,match
33,Commissioning and Start-Up Costs,0.0,0.0,0.0,0.0,match
34,Demonstration Test Run,0.0,0.0,0.0,0.0,match
35,Design Services Offsite,22.5567489381307,22.5567489381307,0.0,0.0,match
36,PM/CM Services Offsite,0.0,0.0,0.0,0.0,match
37,Design Servies Offsite,0.0,0.0,0.0,0.0,match
38,PM/CM Services Onsite,0.0,0.0,0.0,0.0,match
39,Contingency on Support Services,0.0,0.0,0.0,0.0,match
40,Capitalized Owner's Cost (COC),176.8956014710795,176.8956014710794,8.526512829121202e-14,4.820081877793439e-14,match
50,Capitalized Supplementary Costs (CSC),39.53003446099854,39.53003446099854,0.0,0.0,match
51,Shipping and Transportation Costs,8.0,8.0,0.0,0.0,match
52,Spare Parts,6.799670441290373,6.799670441290371,1.7763568394002505e-15,2.6124160791874378e-14,match
53,Taxes,0.0,0.0,0.0,0.0,match
54,Insurance,1.0,1.0,0.0,0.0,match
55,Initial Fuel Load,23.73036401970817,23.73036401970817,0.0,0.0,match
58,Decommissioning Costs,0.0,0.0,0.0,0.0,match
59,Contingency on Supplementary Costs,0.0,0.0,0.0,0.0,match
60,Capitalized Financial Costs (CFC),217.75192444411263,217.7519244441301,-1.7479351299698465e-11,-8.027185681283495e-12,match
61,Escalation,20.125,20.125,0.0,0.0,match
62,Fees,0.0,0.0,0.0,0.0,match
63,Interest During Construction (IDC),197.62692444411263,197.6269244441301,-1.7479351299698465e-11,-8.844620412356791e-12,match
69,Contingency on Capitalized Financial Costs,0.0,0.0,0.0,0.0,match
OCC,Overnight Capital Cost (OCC),1789.9309288581762,1789.930928858334,-1.5779733075760305e-10,-8.815833517008973e-12,match
TCC,Total Capital Cost (TCC),2007.682853302289,2007.682853302464,-1.7507773009128869e-10,-8.72038777455817e-12,match
O&M,Operations and Maintenance,6.281566946393339,6.281566946393339,0.0,0.0,match
Fuel,Fuel,0.1090042081,0.1090042082757512,-1.7575120525581411e-10,-1.61233412944215e-07,match
81,Deuterium,0.047391176570000006,0.04739117663471425,-6.47142409104795e-11,-1.3655335340012648e-07,match
