Account No.,Item,Materials (thousands of dollars),Labor (thousands of dollars),Total (thousands of dollars)
23,Turbine plant equipment," $182,886.95 "," $15,541.62 "," $198,428.57 "
231,Turbine Plant, $-   , $-   , $-   
2311,Turbine generator, $353.40 , $117.80 , $471.20 
2312,Foundations," $2,748.64 "," $1,177.99 "," $3,926.64 "
2323,Condensing water system, $589.00 , $196.33 , $785.33 
233,Condensers," $3,691.04 "," $1,492.12 "," $5,183.16 "
234,Feedwater heating system, $-   , $-   , $-   
2341,Regenerative feedwater heaters," $21,046.76 "," $2,355.98 "," $23,402.74 "
2342,Condensate pumps," $5,049.65 ", $549.73 ," $5,599.38 "
235,Other turbine plan equipment," $3,769.57 ", $157.07 ," $3,926.64 "
2351,Main steam piping," $29,865.99 "," $3,062.78 "," $32,928.76 "
2352,Turbine auxiliaries, $-   , $-   , $-   
2353,Auxiliary cooling systems?," $2,198.92 ", $942.39 ," $3,141.31 "
2354,Makeup and treatment," $20,025.84 "," $3,533.97 "," $23,559.81 "
2355,Condensate treatment," $1,570.65 "," $1,020.93 "," $2,591.58 "
2356,Central lubrication system," $6,007.75 ", $274.86 ," $6,282.62 "
2357,Reheat steam preheaters (see Table D.13), $157.07 , $39.27 , $196.33 
236,Turbine plant instruments and controls, $981.66 , $196.33 ," $1,177.99 "
24,Electric plant equipment," $1,177.99 ", $785.33 ," $1,963.32 "
241,Switchgear," $1,177.99 "," $1,177.99 "," $2,355.98 "
2411,Generator circuits," $28,271.77 "," $7,067.94 "," $35,339.72 "
2412,Station service," $61,569.64 "," $15,039.01 "," $76,608.65 "
242,Station service," $25,130.46 "," $6,282.62 "," $31,413.08 "
243,Switchboards," $439,005.65 "," $46,915.43 "," $485,921.08 "
244,Protective equipment," $65,849.67 "," $4,688.40 ", $-   
245,Electric structures, $801.03 , $-   , $-   
246,Wiring," $505,656.35 "," $51,603.84 "," $557,260.19 "
25,Miscellaneous plant equipment, $-   , $-   , $-   
251,Turbine plant hoists," $152,047.16 "," $7,853.27 "," $159,900.43 "
252,Air and water services," $1,766.99 "," $1,766.99 "," $3,533.97 "
253,Communications," $153,814.15 "," $9,620.26 "," $163,434.40 "
254,Furnishing and fixtures," $8,638.60 "," $7,067.94 "," $15,706.54 "
26,Special materials," $11,779.91 "," $5,497.29 "," $17,277.19 "
264,Coolant-salt inventory, $-   , $-   , $-   
265,Miscellaneous special materials," $14,135.89 ", $785.33 ," $14,921.21 "
,Total direct construction cost (TDC)," $1,413.59 ", $157.07 ," $1,570.65 "
91,Construction equipment and services at 0.8% TDC2," $14,842.68 "," $1,649.19 "," $16,491.87 "
921,Reactor engineering, $-   , $-   , $-   
922,"Engineering, at 5.5% TDC"," $7,067.94 "," $7,067.94 "," $14,135.89 "
93,"Insurance, taxes, etc., at 4.2% TDC"," $2,944.98 "," $2,944.98 "," $5,889.95 "
94,"Interest during construction, at 18.58%μ", $981.66 , $981.66 ," $1,963.32 "
942,Land interest during construction, $565.44 , $62.83 , $628.26 
,Total indirect cost," $4,594.16 ", $510.46 ," $5,104.63 "
,Total plant capital investment," $46,546.33 "," $14,159.45 "," $60,705.78 "
,, $-   , $-   , $-   
,," $13,350.56 "," $13,350.56 "," $26,701.12 "
,," $1,963.32 "," $1,570.65 "," $3,533.97 "
,," $4,711.96 "," $2,355.98 "," $7,067.94 "
,," $2,513.05 "," $1,256.52 "," $3,769.57 "
,," $3,769.57 "," $2,513.05 "," $6,282.62 "
,, $471.20 , $235.60 , $706.79 
,, $863.86 , $196.33 ," $1,060.19 "
,," $27,643.51 "," $21,478.69 "," $49,122.20 "
,," $2,591.58 "," $1,335.06 "," $3,926.64 "
,," $251,014.07 "," $59,158.68 "," $310,172.75 "
,," $10,044.33 "," $4,735.52 "," $14,779.85 "
,," $1,727.72 ", $-   ," $1,727.72 "
,," $262,786.12 "," $63,894.20 "," $326,680.33 "
,, $-   , $-   , $-   
,, $-   , $-   , $-   
,, $785.33 , $235.60 ," $1,020.93 "
,," $7,853.27 ", $785.33 ," $8,638.60 "
,," $3,533.97 "," $2,827.18 "," $6,361.15 "
,," $3,141.31 ", $549.73 ," $3,691.04 "
,, $785.33 , $785.33 ," $1,570.65 "
,," $1,177.99 "," $4,711.96 "," $5,889.95 "
,," $15,706.54 "," $15,706.54 "," $31,413.08 "
,," $32,983.73 "," $25,601.66 "," $58,585.39 "
,," $1,570.65 "," $2,355.98 "," $3,926.64 "
,, $314.13 , $-   , $314.13 
,," $34,868.52 "," $27,957.64 "," $62,826.16 "
,, $-   , $-   , $-   
,," $2,615.14 ", $290.57 ," $2,905.71 "
,," $3,848.10 "," $2,591.58 "," $6,439.68 "
,, $392.66 , $392.66 , $785.33 
,," $2,748.64 ", $157.07 ," $2,905.71 "
,," $9,604.55 "," $3,431.88 "," $13,036.43 "
,, $479.05 , $345.54 , $-   
,, $102.09 , $-   , $-   
,," $10,185.69 "," $3,824.54 "," $13,963.11 "
,, $-   , $-   , $-   
,, $-   , $-   ," $3,926.64 "
,, $-   , $-   ," $3,926.64 "
,, $-   , $-   ," $7,853.27 "
,, $-   , $-   ," $1,196,092.29 "
,, $-   , $-   ," $9,565.28 "
,, $-   , $-   ," $17,669.86 "
,, $-   , $-   ," $65,786.84 "
,, $-   , $-   ," $50,237.37 "
,, $-   , $-   ," $248,846.57 "
,, $-   , $-   ," $3,298.37 "
,, $-   , $-   ," $395,404.29 "
,, $-   , $-   ," $1,591,496.58 "
